date,python,machine learning,data science,deep learning,seo
2025-01-05,72,58,54,42,38
2025-01-12,75,62,56,48,40
2025-01-19,78,65,58,52,42
2025-01-26,80,68,60,55,44
2025-02-02,79,66,59,53,43
2025-02-09,77,63,57,50,41
2025-02-16,74,60,55,46,39
2025-02-23,71,57,53,43,37
2025-03-02,73,59,55,45,38
2025-03-09,76,63,57,49,40
2025-03-16,79,67,59,53,42
2025-03-23,82,71,61,57,44
2025-03-30,81,69,60,55,43
2025-04-06,78,65,58,51,41
2025-04-13,75,61,56,47,39
2025-04-20,72,58,54,44,37
2025-04-27,74,60,55,46,38
2025-05-04,77,64,57,50,40
2025-05-11,80,68,59,54,42
2025-05-18,83,72,61,58,44
2025-05-25,82,70,60,56,43
2025-06-01,79,66,58,52,41
2025-06-08,76,62,56,48,39
2025-06-15,73,59,54,45,37
2025-06-22,75,61,55,47,38
2025-06-29,78,65,57,51,40
2025-07-06,81,69,59,55,42
2025-07-13,84,73,61,59,44
2025-07-20,83,71,60,57,43
2025-07-27,80,67,58,53,41
2025-08-03,77,63,56,49,39
2025-08-10,74,60,54,46,37
2025-08-17,76,62,55,48,38
2025-08-24,79,66,57,52,40
2025-08-31,82,70,59,56,42
2025-09-07,85,74,61,60,44
2025-09-14,84,72,60,58,43
2025-09-21,81,68,58,54,41
2025-09-28,78,64,56,50,39
2025-10-05,75,61,54,47,37
2025-10-12,77,63,55,49,38
2025-10-19,80,67,57,53,40
2025-10-26,83,71,59,57,42
2025-11-02,86,75,61,61,44
2025-11-09,85,73,60,59,43
2025-11-16,82,69,58,55,41
2025-11-23,79,65,56,51,39
2025-11-30,76,62,54,48,37
2025-12-07,78,64,55,50,38
2025-12-14,81,68,57,54,40
2025-12-21,84,72,59,58,42
2025-12-28,87,76,61,62,44
